Date,Close,Open,High,Low,Volumen,Change %
18-Jan-18,11045,11101,11881,10515,85240,-0.33%
19-Jan-18,11476,11036,11879,10649,48550,3.90%
20-Jan-18,12728,11462,13002,11425,46300,10.91%
21-Jan-18,11514,12732,12732,11020,53620,-9.54%
22-Jan-18,10771,11519,11886,10009,66350,-6.45%
23-Jan-18,10819,10770,11383,9901.1,63850,0.45%
24-Jan-18,11414,10811,11529,10454,43820,5.50%
25-Jan-18,11146,11402,11723,10857,34440,-2.35%
26-Jan-18,11070,11144,11647,10298,56750,-0.68%
27-Jan-18,11461,11068,11683,10822,34400,3.53%
28-Jan-18,11839,11455.1,12181,11398,29620,3.30%
29-Jan-18,11212,11836,11957,11074,25650,-5.30%
30-Jan-18,10175,11215,11250,9864.9,61280,-9.25%
31-Jan-18,10284,10170,10411,9761,43230,1.07%
1-Feb-18,9181.1,10278,10311,8941,78780,-10.72%
2-Feb-18,8895.8,9181,9201,7972.2,123340,-3.11%
3-Feb-18,9219.4,8887.1,9495,8189.6,51910,3.64%
4-Feb-18,8200,9225.1,9403.3,7840,74420,-11.06%
5-Feb-18,6949.9,8185.2,8378,6658.8,131290,-15.25%
6-Feb-18,7673.8,6946.6,7860,6000,192760,10.42%
7-Feb-18,7587,7679.4,8488.2,7175.1,106700,-1.13%
8-Feb-18,8235.1,7585,8648.8,7579.6,77620,8.54%
9-Feb-18,8683.2,8240,8748,7734.7,63030,5.44%
10-Feb-18,8563.1,8678.1,9074.3,8152.1,68150,-1.38%
11-Feb-18,8069,8563,8569,7851,52210,-5.77%
12-Feb-18,8900.6,8070,9000,8070,51400,10.31%
13-Feb-18,8515.9,8902.9,8952.8,8339.7,39510,-4.32%
14-Feb-18,9455.4,8515.9,9488,8512.6,50360,11.03%
15-Feb-18,9996.9,9454.3,10175,9338.8,67530,5.73%
16-Feb-18,10162,9996,10270,9674.9,43890,1.65%
17-Feb-18,11053.5,10161,11083,10050,52800,8.77%
18-Feb-18,10372,11062,11250,10122,69830,-6.17%
19-Feb-18,11173,10398,11250,10308,50740,7.72%
20-Feb-18,11218,11172,11776,11101,60920,0.40%
21-Feb-18,10455,11216,11239,10200,76960,-6.80%
22-Feb-18,9830,10453.2,10912,9740,71230,-5.98%
23-Feb-18,10145,9826.5,10395,9583.9,59070,3.20%
24-Feb-18,9666.3,10144,10499,9350.3,55700,-4.72%
25-Feb-18,9557.4,9666.3,9840,9284.3,30520,-1.13%
26-Feb-18,10321,9583,10437,9359.9,45940,7.99%
27-Feb-18,10569,10320,10880,10133,39720,2.40%
28-Feb-18,10315,10583,11063,10270,43890,-2.40%
1-Mar-18,10925,10316,11087,10224,33870,5.91%
2-Mar-18,11025,10908,11189,10766,28860,0.92%
3-Mar-18,11440,11024,11526,11024,30650,3.76%
4-Mar-18,11501,11454,11544,11061,28070,0.53%
5-Mar-18,11416,11497,11696,11390,27560,-0.74%
6-Mar-18,10720,11403,11403,10578,44240,-6.10%
7-Mar-18,9902.9,10779,10899,9422.1,75220,-7.62%
8-Mar-18,9300,9910.7,10109,9037,67750,-6.09%
9-Mar-18,9217,9301.9,9420.5,8351,98200,-0.89%
10-Mar-18,8762,9216.2,9500,8691.1,52540,-4.94%
11-Mar-18,9528,8764.4,9726.1,8429,70480,8.74%
12-Mar-18,9121,9528,9894.7,8776.8,67580,-4.27%
13-Mar-18,9135,9130.2,9479,8827.7,61540,0.15%
14-Mar-18,8186.6,9135.2,9400.1,7923.8,78810,-10.38%
15-Mar-18,8252.9,8181.3,8416.7,7666.3,82580,0.81%
16-Mar-18,8251,8250.1,8602.7,7903.2,56340,-0.02%
17-Mar-18,7851,8250,8350.1,7729.5,48970,-4.85%
18-Mar-18,8200.2,7832,8285.6,7240,88920,4.45%
19-Mar-18,8600.1,8209,8689.9,8100,73280,4.88%
20-Mar-18,8899.7,8600.2,9025,8309.6,54280,3.48%
21-Mar-18,8900.1,8899.8,9175.2,8755.7,42860,0.00%
22-Mar-18,8706.4,8888.6,9088,8453.1,54420,-2.18%
23-Mar-18,8908,8703.8,8910,8272.8,44910,2.32%
24-Mar-18,8535,8911.4,9040.2,8463,44210,-4.19%
25-Mar-18,8445.1,8525,8673.9,8373,30690,-1.05%
26-Mar-18,8119.1,8445,8496.4,7839.1,56380,-3.86%
27-Mar-18,7784.5,8128,8209,7727,50410,-4.12%
28-Mar-18,7936.1,7784.5,8118,7725,35080,1.95%
29-Mar-18,7094,7936,7963.9,6897.2,77410,-10.61%
30-Mar-18,6840.4,7091.5,7267.3,6533,108250,-3.57%
31-Mar-18,6925.3,6838.1,7221.9,6782.9,68020,1.24%
1-Apr-18,6810,6925.4,7035.1,6432.4,54900,-1.66%
2-Apr-18,7052.7,6813.1,7121.4,6770.2,44010,3.56%
3-Apr-18,7405.6,7073.8,7509.6,7020,49860,5.00%
4-Apr-18,6785.9,7403.3,7422,6670,53720,-8.37%
5-Apr-18,6765,6785.8,6911,6571.9,45850,-0.31%
