Date,Price,Open,High,Low,Vol.,Change %
18-Jan-18,"11,045.00","11,101.00","11,881.00","10,515.00",85.24K,-0.33%
19-Jan-18,"11,476.00","11,036.00","11,879.00","10,649.00",48.55K,3.90%
20-Jan-18,"12,728.00","11,462.00","13,002.00","11,425.00",46.30K,10.91%
21-Jan-18,"11,514.00","12,732.00","12,732.00","11,020.00",53.62K,-9.54%
22-Jan-18,"10,771.00","11,519.00","11,886.00","10,009.00",66.35K,-6.45%
23-Jan-18,"10,819.00","10,770.00","11,383.00","9,901.10",63.85K,0.45%
24-Jan-18,"11,414.00","10,811.00","11,529.00","10,454.00",43.82K,5.50%
25-Jan-18,"11,146.00","11,402.00","11,723.00","10,857.00",34.44K,-2.35%
26-Jan-18,"11,070.00","11,144.00","11,647.00","10,298.00",56.75K,-0.68%
27-Jan-18,"11,461.00","11,068.00","11,683.00","10,822.00",34.40K,3.53%
28-Jan-18,"11,839.00","11,455.10","12,181.00","11,398.00",29.62K,3.30%
29-Jan-18,"11,212.00","11,836.00","11,957.00","11,074.00",25.65K,-5.30%
30-Jan-18,"10,175.00","11,215.00","11,250.00","9,864.90",61.28K,-9.25%
31-Jan-18,"10,284.00","10,170.00","10,411.00","9,761.00",43.23K,1.07%
1-Feb-18,"9,181.10","10,278.00","10,311.00","8,941.00",78.78K,-10.72%
2-Feb-18,"8,895.80","9,181.00","9,201.00","7,972.20",123.34K,-3.11%
3-Feb-18,"9,219.40","8,887.10","9,495.00","8,189.60",51.91K,3.64%
4-Feb-18,"8,200.00","9,225.10","9,403.30","7,840.00",74.42K,-11.06%
5-Feb-18,"6,949.90","8,185.20","8,378.00","6,658.80",131.29K,-15.25%
6-Feb-18,"7,673.80","6,946.60","7,860.00","6,000.00",192.76K,10.42%
7-Feb-18,"7,587.00","7,679.40","8,488.20","7,175.10",106.70K,-1.13%
8-Feb-18,"8,235.10","7,585.00","8,648.80","7,579.60",77.62K,8.54%
9-Feb-18,"8,683.20","8,240.00","8,748.00","7,734.70",63.03K,5.44%
10-Feb-18,"8,563.10","8,678.10","9,074.30","8,152.10",68.15K,-1.38%
11-Feb-18,"8,069.00","8,563.00","8,569.00","7,851.00",52.21K,-5.77%
12-Feb-18,"8,900.60","8,070.00","9,000.00","8,070.00",51.40K,10.31%
13-Feb-18,"8,515.90","8,902.90","8,952.80","8,339.70",39.51K,-4.32%
14-Feb-18,"9,455.40","8,515.90","9,488.00","8,512.60",50.36K,11.03%
15-Feb-18,"9,996.90","9,454.30","10,175.00","9,338.80",67.53K,5.73%
16-Feb-18,"10,162.00","9,996.00","10,270.00","9,674.90",43.89K,1.65%
17-Feb-18,"11,053.50","10,161.00","11,083.00","10,050.00",52.80K,8.77%
18-Feb-18,"10,372.00","11,062.00","11,250.00","10,122.00",69.83K,-6.17%
19-Feb-18,"11,173.00","10,398.00","11,250.00","10,308.00",50.74K,7.72%
20-Feb-18,"11,218.00","11,172.00","11,776.00","11,101.00",60.92K,0.40%
21-Feb-18,"10,455.00","11,216.00","11,239.00","10,200.00",76.96K,-6.80%
22-Feb-18,"9,830.00","10,453.20","10,912.00","9,740.00",71.23K,-5.98%
23-Feb-18,"10,145.00","9,826.50","10,395.00","9,583.90",59.07K,3.20%
24-Feb-18,"9,666.30","10,144.00","10,499.00","9,350.30",55.70K,-4.72%
25-Feb-18,"9,557.40","9,666.30","9,840.00","9,284.30",30.52K,-1.13%
26-Feb-18,"10,321.00","9,583.00","10,437.00","9,359.90",45.94K,7.99%
27-Feb-18,"10,569.00","10,320.00","10,880.00","10,133.00",39.72K,2.40%
28-Feb-18,"10,315.00","10,583.00","11,063.00","10,270.00",43.89K,-2.40%
1-Mar-18,"10,925.00","10,316.00","11,087.00","10,224.00",33.87K,5.91%
2-Mar-18,"11,025.00","10,908.00","11,189.00","10,766.00",28.86K,0.92%
3-Mar-18,"11,440.00","11,024.00","11,526.00","11,024.00",30.65K,3.76%
4-Mar-18,"11,501.00","11,454.00","11,544.00","11,061.00",28.07K,0.53%
5-Mar-18,"11,416.00","11,497.00","11,696.00","11,390.00",27.56K,-0.74%
6-Mar-18,"10,720.00","11,403.00","11,403.00","10,578.00",44.24K,-6.10%
7-Mar-18,"9,902.90","10,779.00","10,899.00","9,422.10",75.22K,-7.62%
8-Mar-18,"9,300.00","9,910.70","10,109.00","9,037.00",67.75K,-6.09%
9-Mar-18,"9,217.00","9,301.90","9,420.50","8,351.00",98.20K,-0.89%
10-Mar-18,"8,762.00","9,216.20","9,500.00","8,691.10",52.54K,-4.94%
11-Mar-18,"9,528.00","8,764.40","9,726.10","8,429.00",70.48K,8.74%
12-Mar-18,"9,121.00","9,528.00","9,894.70","8,776.80",67.58K,-4.27%
13-Mar-18,"9,135.00","9,130.20","9,479.00","8,827.70",61.54K,0.15%
14-Mar-18,"8,186.60","9,135.20","9,400.10","7,923.80",78.81K,-10.38%
15-Mar-18,"8,252.90","8,181.30","8,416.70","7,666.30",82.58K,0.81%
16-Mar-18,"8,251.00","8,250.10","8,602.70","7,903.20",56.34K,-0.02%
17-Mar-18,"7,851.00","8,250.00","8,350.10","7,729.50",48.97K,-4.85%
18-Mar-18,"8,200.20","7,832.00","8,285.60","7,240.00",88.92K,4.45%
19-Mar-18,"8,600.10","8,209.00","8,689.90","8,100.00",73.28K,4.88%
20-Mar-18,"8,899.70","8,600.20","9,025.00","8,309.60",54.28K,3.48%
21-Mar-18,"8,900.10","8,899.80","9,175.20","8,755.70",42.86K,0.00%
22-Mar-18,"8,706.40","8,888.60","9,088.00","8,453.10",54.42K,-2.18%
23-Mar-18,"8,908.00","8,703.80","8,910.00","8,272.80",44.91K,2.32%
24-Mar-18,"8,535.00","8,911.40","9,040.20","8,463.00",44.21K,-4.19%
25-Mar-18,"8,445.10","8,525.00","8,673.90","8,373.00",30.69K,-1.05%
