Date,tweet_id,text,name
Fri Jan 22 09:02:02 +0000 2021,1352542026793934848,"In #bitcoin, privacy isn't a one and done sort of thing, but here are the simple ways you can increase #privacy on your bitcoin transactions right now:  ",aantonop
Fri Jan 22 08:15:01 +0000 2021,1352530195228581889,"Cryptocurrency Explained: Understanding ""Double-spend"", Block Re-Organization, &amp; Consensus [Bitcoin]  
#cryptocurrency #crypto #CryptocurrencyNews #bitcoin ",aantonop
Fri Jan 22 04:32:08 +0000 2021,1352474100657123329,   😆,aantonop
Fri Jan 22 04:26:58 +0000 2021,1352472801064542210,"   Mostly yes, then piled on by other irresponsible ""reporting"" by businessinsider and other more ""mainstream"" financial press.",aantonop
Fri Jan 22 04:21:12 +0000 2021,1352471350997180416,"   The people who reported BitMEX's simple reporting of the normal operation of bitcoin in a sensationalist manner full of falsehoods. 

Maybe do some more research before throwing stones at the wrong target. I've written about it extensively all day.",aantonop
Fri Jan 22 03:59:14 +0000 2021,1352465825144291330," No, they can support but not damage the network. Nodes don't trust other nodes and they spread their connections widely to avoid being ""cornered""",aantonop
Fri Jan 22 03:55:34 +0000 2021,1352464899801194496," 

Thanks!",aantonop
Fri Jan 22 03:42:47 +0000 2021,1352461683613044739, Thank you!,aantonop
Fri Jan 22 03:08:08 +0000 2021,1352452964468871170,"Today there were headlines about a ""double-spend"" in #bitcoin! Many took that to mean that bitcoin has a catastrophic flaw (it doesn't) or the network is not secure (it is) or that bitcoin is somehow broken (it's not). Debunking the FUD:  ",aantonop
Fri Jan 22 02:09:37 +0000 2021,1352438238582104065,"Curious how to run your own node for #btc, #eth, or #lightningnetwork? Join my livestream event this Saturday where I’ll be answering your questions on nodes. 

Subscribe to my YouTube channel &amp; set a reminder now:  ",aantonop
Fri Jan 22 01:16:10 +0000 2021,1352424786576633858," I'm not a maxi. 

I'm also a coder and wrote the #1 technical college level book about Bitcoin in 2014. 

Perhaps consider my work and read what I actually said. I think you will find it interesting",aantonop
Thu Jan 21 23:48:16 +0000 2021,1352402667419492353,  Done,aantonop
Thu Jan 21 23:08:15 +0000 2021,1352392594307702786,"Cryptocurrency Explained: Understanding ""Double-spend"", Block Re-Organization and Bitcoin's Consensus Algorithm. 

It's a long video (1hr 24m) but if you want the details and to get a much much better understanding of how Bitcoin works, watch it:

 ",aantonop
Thu Jan 21 22:57:16 +0000 2021,1352389830794067968," Awww, thanks for the hug bro, I needed that.",aantonop
Thu Jan 21 22:55:16 +0000 2021,1352389327657963522,"You can support my educational mission on  

I do not have ""sponsors"", I am funded by the community builders who volunteer to help me do my work.",aantonop
Thu Jan 21 22:50:01 +0000 2021,1352388007395954697, I'm a little suspicious of the new maid they just hired for the White House ,aantonop
Thu Jan 21 22:49:25 +0000 2021,1352387857038495744,"Today has been a very long day from the moment I woke up.

I think I was able to help with Bitcoin education and knowledge, but the FUD is quite exhausting. 

Thanks to all who helped!",aantonop
Thu Jan 21 22:44:35 +0000 2021,1352386638974836736," A more detailed explanation of the whole 

""A double-spend broke Bitcoin"" FUD that was circulated by an irresponsible publica…",aantonop
