Date,tweet_id,text,name
Fri Jan 22 19:14:12 +0000 2021,1352696082170568706,"Institutions never wait and see during each market sell-off, on-chain data reveals. Instead, they have been buying the dip even during this week’s correction. 

 reports

",CoinDesk
Fri Jan 22 18:07:10 +0000 2021,1352679212579233794,"""Although the U.S. seems all-powerful right now, digital alternatives to the dollar-centric financial system are emerging. Washington, Wall Street and Silicon Valley must be ready,"" says . 

",CoinDesk
Fri Jan 22 17:37:59 +0000 2021,1352671868252114944," In their latest report,  shows that the share of bitcoin in addresses holding more than 10,000 BTC has decrease…",CoinDesk
Fri Jan 22 17:04:46 +0000 2021,1352663510610825218,"NEW: Upstart crypto exchange  is opening pre-orders for a  debit card linked to #bitcoin and fiat accounts.

 reports

",CoinDesk
Fri Jan 22 16:43:20 +0000 2021,1352658115964108802,"Samsung is considering bankrolling a $10 billion chipmaking plant in Austin, Texas, according to a Bloomberg report. 

by   

",CoinDesk
Fri Jan 22 16:01:04 +0000 2021,1352647479850917890,"IN DEPTH: At least one key executive from crypto exchange Huobi is now in custody with Chinese police over an investigation into the exchange's OTC business, sources say.

 reports

",CoinDesk
Fri Jan 22 15:34:18 +0000 2021,1352640742624268289,"With Ethereum close to breaking into unchartered territory, here are 3 things that could push it toward $2K. ",CoinDesk
Fri Jan 22 15:30:13 +0000 2021,1352639713899933697,". (D-Ohio) is going to run the Senate Banking Committee for the next congressional session, and one focus will be on real-time payments.

Read 's take: ",CoinDesk
Fri Jan 22 15:00:46 +0000 2021,1352632304447971329,"Sber, Russia's largest retail bank, has applied for a license with the country's central bank to issue its own digital token for corporate clients. 

Via  ",CoinDesk
Fri Jan 22 14:49:21 +0000 2021,1352629429613326343,"The BIS Innovation Hub is to develop a new platform for testing wholesale central bank digital currencies in cross-border payments.

Via  ",CoinDesk
Fri Jan 22 14:34:52 +0000 2021,1352625786889658369,"MicroStrategy buys the dip, adds $10M to bitcoin treasury.

by  

",CoinDesk
Fri Jan 22 14:32:27 +0000 2021,1352625178472292353, FIRST MOVER: Bearish price-chart patterns and ill-understood news items combined to cause bitcoin's biggest price plun…,CoinDesk
Fri Jan 22 14:18:45 +0000 2021,1352621729491935235,"The deputy CEO of 's bank, Deltec, said on Friday that the company's USDT stablecoin is fully backed by reserves, downplaying resurgent fears about the cryptocurrency's integrity. 

Via  ",CoinDesk
