Date,tweet_id,text,name
Sat Jan 23 01:57:14 +0000 2021,1352797509299658752,  Elon - the world is ready to hear you talk for an hour about Bitcoin. Let’s do it?,APompliano
Sat Jan 23 01:44:12 +0000 2021,1352794229936959488,  :),APompliano
Sat Jan 23 01:41:56 +0000 2021,1352793657280225281,  is the GOAT,APompliano
Sat Jan 23 01:41:43 +0000 2021,1352793603240828928," When the UFC moved forward with live events during the pandemic, Dana White was called ""reckless"" &amp; ""irresponsible.""

His…",APompliano
Sat Jan 23 01:30:39 +0000 2021,1352790819292508162,  This is going to be fun :),APompliano
Sat Jan 23 01:29:00 +0000 2021,1352790402798071808,"  Lol I have a long list of the largest hedge funds in the world and the best macro traders that sat in front of me and capitulated.

They all got exposure afterwards. I look forward to adding Mike to the list of victims 😉",APompliano
Sat Jan 23 00:25:20 +0000 2021,1352774382020648960,         No clue. Nic would be great too!,APompliano
Sat Jan 23 00:07:51 +0000 2021,1352769980056694784,"Every morning I write a letter to 115,000 investors and break down Bitcoin, business, &amp; finance in simple terms.

Subscribers include billionaires, large institutional allocators, &amp; world’s most successful investors.

Read what the smart money is reading: ",APompliano
Sat Jan 23 00:07:16 +0000 2021,1352769836359839744,  :),APompliano
Fri Jan 22 23:39:17 +0000 2021,1352762792365993992,     Nic would do a great job as well.,APompliano
Fri Jan 22 23:38:53 +0000 2021,1352762692235362305, :),APompliano
Fri Jan 22 23:38:26 +0000 2021,1352762576560652288,   I will let him pick whichever venue he is most comfortable with. Greatly respect Mike but think he is viewing a few things inaccurately,APompliano
Fri Jan 22 23:32:30 +0000 2021,1352761086618071040,"   One of the smartest, but I am very surprised by Mike's position on Bitcoin. I think we can help change that!",APompliano
Fri Jan 22 23:30:21 +0000 2021,1352760545368223744,  LMAO,APompliano
Fri Jan 22 23:30:03 +0000 2021,1352760468264378371,  Happy to have you do it. Count me in,APompliano
Fri Jan 22 23:28:34 +0000 2021,1352760096674226185,"I hereby challenge  to a debate on Bitcoin and the future prospects of the digital currency.

He can pick the venue and the moderator.

I'll be there as long as he isn't afraid of changing his mind :)",APompliano
Fri Jan 22 23:10:04 +0000 2021,1352755440329908227,. is launching a debit card that will allow you to spend crypto anywhere that Mastercard is accepted. ,APompliano
Fri Jan 22 22:50:23 +0000 2021,1352750487083380736,  better question....is that a black t-shirt under a three piece suit? impressive,APompliano
Fri Jan 22 22:18:16 +0000 2021,1352742402897956865,   :),APompliano
Fri Jan 22 22:01:07 +0000 2021,1352738088578117633, You’ll definitely have to join one of the videos if I do it 🙏🏼,APompliano
Fri Jan 22 21:51:56 +0000 2021,1352735777751371776, I’m donating $1K per GP to  for every GP at a VC firm with +$300M AUM who publicly pledges to not submit to Midas…,APompliano
Fri Jan 22 21:28:17 +0000 2021,1352729826608746499,"I’m thinking about launching a YouTube channel from scratch that simply teaches people how to be better with money.

Videos on budgeting, saving, investing, taxes, &amp; building multiple streams of income.

Goal is 1M subs in 1 year.

Retweet if you would watch the videos to learn!",APompliano
Fri Jan 22 21:23:12 +0000 2021,1352728546008064003,"  My takeaway from this photo is that if you invest in gold you won’t have enough money to buy shoes.

Pete let me know if you need to bottom a pair! Hope you’re doing well my friend :)",APompliano
Fri Jan 22 21:05:05 +0000 2021,1352723987323908096,Making  proud. ,APompliano
Fri Jan 22 20:36:23 +0000 2021,1352716762765283330,"Bitcoin will one day hit $1 million per Bitcoin.

There will be lots of volatility along the way. People should relax, zoom out, and keep a long time preference.

I explain to  in this interview.

",APompliano
Fri Jan 22 20:05:19 +0000 2021,1352708944142209032,   🔥🔥🔥🔥,APompliano
Fri Jan 22 19:48:37 +0000 2021,1352704743915876361,. being a boss as always 🔥 ,APompliano
Fri Jan 22 16:27:19 +0000 2021,1352654086416560128,  Please refer to him as Jimmy Bitcoin moving forward :),APompliano
Fri Jan 22 14:44:42 +0000 2021,1352628258521702401,  You’ll love this one :) ,APompliano
Fri Jan 22 14:27:15 +0000 2021,1352623870713409536,"  Phil is the legend of legends.

Going up against the bad guy corporations single handed and winning 🔥

",APompliano
Fri Jan 22 14:01:07 +0000 2021,1352617290597072900, LMAO... you win best answer by a mile 🙏🏼,APompliano
Fri Jan 22 14:00:05 +0000 2021,1352617033582698496, Those people are the worst. Definitely no good morning to them 😂,APompliano
Fri Jan 22 13:53:51 +0000 2021,1352615463918968835, 😂😂😂,APompliano
Fri Jan 22 13:50:08 +0000 2021,1352614527398006786,"My friend  with some interesting ideas on CNBC this morning:

- Cancel PPP loans
- No federal tax for 24 months
- No minimum wage for 24 months

What do you think? Good ideas or bad ideas?  ",APompliano
Fri Jan 22 13:44:14 +0000 2021,1352613041565814784,"What is the wildest idea you have seen someone working on recently?

Very low probability of success, but insane upside if they pull it off?",APompliano
Fri Jan 22 13:29:05 +0000 2021,1352609231380348928,We live in a wild world but I love it. ,APompliano
Fri Jan 22 13:26:35 +0000 2021,1352608599604948992,"New episode with Blockware CEO Mason Jappa is live!

We discuss the latest Blockware research report on Bitcoin, including why $40,000 is just the beginning and how the network metrics suggest Bitcoin is stronger than ever.

Enjoy!

",APompliano
Fri Jan 22 13:02:52 +0000 2021,1352602634784485376, 😂😂,APompliano
Fri Jan 22 12:43:35 +0000 2021,1352597778397073409,Good morning to everyone except the people who are only on this website to be the reply guy with smartass answers and pointing out exceptions to every tweet,APompliano
Fri Jan 22 03:50:29 +0000 2021,1352463621952049159," There was no double spend.

Calm down.",APompliano
Fri Jan 22 01:43:37 +0000 2021,1352431692741545985,  Ball don’t lie :),APompliano
Fri Jan 22 01:13:02 +0000 2021,1352423996009164805,  I’ll take it off your hands for no cost if it becomes too much of a burden 😂😜,APompliano
Fri Jan 22 01:09:56 +0000 2021,1352423217407930368,  Btw 5% cars is amazing too 🔥,APompliano
Fri Jan 22 01:09:35 +0000 2021,1352423131001085955,"  If you put 1% of your portfolio in Bitcoin, you’d likely decrease overall risk (non-correlation over long term) and increase return (asymmetry) while also having minimal impact to your annual returns if entire allocation went to zero. 

The ideal asset for modern portfolio theory",APompliano
Fri Jan 22 01:05:09 +0000 2021,1352422011621011458,  What percentage of your portfolio do you keep in cash?,APompliano
Fri Jan 22 01:03:32 +0000 2021,1352421605880827905,  What questions do you have? Happy to help,APompliano
Fri Jan 22 01:01:19 +0000 2021,1352421046926848000,  🔥🔥🔥,APompliano
Fri Jan 22 00:49:37 +0000 2021,1352418103427280896," Bitcoin just crashed to levels not seen since....earlier this month 🤯

Everyone relax and zoom out.",APompliano
Thu Jan 21 23:22:55 +0000 2021,1352396287740702724,"EVERGREEN TWEET: Everybody wants to be a trader until they start losing money like most traders. 

Know your circle of competence and stay in your lane.",APompliano
Thu Jan 21 23:21:06 +0000 2021,1352395827025752069,"  Jesus, you’re not playing around 🔥",APompliano
Thu Jan 21 23:19:16 +0000 2021,1352395368043061248,"There was no double spend.

Calm down.",APompliano
Thu Jan 21 22:31:06 +0000 2021,1352383245128773632," If you're so good as an investment manager, why did millions of random people on the internet out perform you by simply buying Bitcoin and holding it over the last few years?

Love you, Puru! Just want you to realize it goes both ways :)",APompliano
Thu Jan 21 22:29:47 +0000 2021,1352382914324013066,The best founders are problem solvers at their core.,APompliano
Thu Jan 21 22:23:28 +0000 2021,1352381324057837574, You guys asked and we got him! Recorded Episode 1 of Season 2 with !  Check it out at …,APompliano
Thu Jan 21 20:03:58 +0000 2021,1352346216865132547,"“Pay me in Bitcoin” is infiltrating corporations now.

 will pay you thousands of dollars in Bitcoin if you refer their next hire.

Eat your hearts out 🔥🔥 ",APompliano
Thu Jan 21 18:02:17 +0000 2021,1352315593781817352,"BlockFi continues to add new products to support their goal of becoming the most important company in the new digital financial system.

OTC desk is now open for business.

",APompliano
Thu Jan 21 17:38:10 +0000 2021,1352309528088481793,"Bitcoin just crashed to levels not seen since....earlier this month 🤯

Everyone relax and zoom out.",APompliano
Thu Jan 21 17:36:43 +0000 2021,1352309159711166464,   🙏🏼🙏🏼🙏🏼,APompliano
Thu Jan 21 17:30:48 +0000 2021,1352307673744756738," Imagine being short Tesla, being wrong, and then moving on to short Bitcoin. 😂😂

Appreciate you anyways though. Hope you’re having a good day :)",APompliano
Thu Jan 21 15:56:03 +0000 2021,1352283828367339522,"Stock to flow model is deadly accurate so far. 

This is what a programmatic monetary policy looks like. 

Predictable and transparent.

No one can change the rules unilaterally because they think they're smarter than the free market. ",APompliano
Thu Jan 21 15:46:28 +0000 2021,1352281418135691271,  excited to listen!,APompliano
Thu Jan 21 14:45:22 +0000 2021,1352266040403750912,"I went on the Business Casual podcast with  to talk about Bitcoin.

She asked great questions and I had a lot of fun. Enjoy :)

",APompliano
Thu Jan 21 04:48:41 +0000 2021,1352115881061601282, ,APompliano
Thu Jan 21 04:20:14 +0000 2021,1352108720973623296,  Check out  or if you want to earn interest ,APompliano
Thu Jan 21 04:01:40 +0000 2021,1352104047482957824,  🔥🔥🔥,APompliano
Thu Jan 21 04:00:47 +0000 2021,1352103825356828672,  🙏🏼🔥,APompliano
Thu Jan 21 03:58:59 +0000 2021,1352103371172421633, 😂😂 when will you create a “Not a VC” list?!,APompliano
Thu Jan 21 03:44:45 +0000 2021,1352099791791149057,   😂😂😂😂,APompliano
Thu Jan 21 03:43:53 +0000 2021,1352099571145564160," Because the debt I’m talking about (high interest credit cards, etc) is worse than the devaluation.",APompliano
